id,titulo,autor,anio,anio_muerte,tipo,accion,ES,ES_libre_en,DE,DE_libre_en,MX,MX_libre_en,CL,CL_libre_en,AR,AR_libre_en,UY,UY_libre_en,US,US_libre_en,PR,PR_libre_en,CO,CO_libre_en,PE,PE_libre_en,EC,EC_libre_en,VE,VE_libre_en,NI,NI_libre_en,PY,PY_libre_en,CR,CR_libre_en,GB,GB_libre_en,CU,CU_libre_en,BO,BO_libre_en,SV,SV_libre_en,FR,FR_libre_en
15,Versos sencillos,José Martí,1891,1895,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
16,Tradiciones peruanas (primera serie),Ricardo Palma,1872,1919,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
17,Cuentos de la selva,Horacio Quiroga,1918,1937,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
18,Poesías,Delmira Agustini,1913,1914,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
20,Los pazos de Ulloa,Emilia Pardo Bazán,1886,1921,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
22,Niebla,Miguel de Unamuno,1914,1936,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2037,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
23,Soledades,Antonio Machado,1903,1939,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2040,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
24,Cuentos frágiles,Manuel Gutiérrez Nájera,1883,1895,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
100,"Física universitaria, volumen 1","Samuel J. Ling, Jeff Sanny, William Moebs (OpenStax)",2016,,Libre acceso (CC BY 4.0),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
101,"Física universitaria, volumen 2","Samuel J. Ling, Jeff Sanny, William Moebs (OpenStax)",2016,,Libre acceso (CC BY 4.0),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
