id,titulo,autor,anio,anio_muerte,tipo,accion,ES,ES_libre_en,DE,DE_libre_en,MX,MX_libre_en,CL,CL_libre_en,AR,AR_libre_en,UY,UY_libre_en,US,US_libre_en,PR,PR_libre_en,CO,CO_libre_en,PE,PE_libre_en,EC,EC_libre_en,VE,VE_libre_en,NI,NI_libre_en,PY,PY_libre_en,CR,CR_libre_en,GB,GB_libre_en,CU,CU_libre_en,BO,BO_libre_en,SV,SV_libre_en,FR,FR_libre_en
361,Los Arrecifes De Coral,Horacio Quiroga,1901,1937,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
381,Sobre el Arte de Contar Historias,Horacio Quiroga,s. f.,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
387,Artículos y Crónicas,Horacio Quiroga,1937,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
371,Biografías Ejemplares,Horacio Quiroga,s. f.,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
375,Cartas de un Cazador,Horacio Quiroga,s. f.,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
369,El Crimen del Otro y Otros Cuentos,Horacio Quiroga,1904,1937,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
382,Cuadrivio Laico,Horacio Quiroga,1904,1937,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
376,El Desierto y Otros Cuentos,Horacio Quiroga,1924,1937,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
380,Los Desterrados y Otros Cuentos,Horacio Quiroga,1926,1937,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
383,Diario De Viaje A París,Horacio Quiroga,s. f.,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
367,Los Estrenos Cinematográficos,Horacio Quiroga,s. f.,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
378,Textos Fronterizos,Horacio Quiroga,s. f.,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
379,Un Idilio,Horacio Quiroga,s. f.,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
372,Corto poema de María Angélica,Horacio Quiroga,s. f.,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
377,Más Allá y Otros Cuentos,Horacio Quiroga,1935,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
388,Cuentos y Prosas no Recogidos en Libro,Horacio Quiroga,1937,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
365,Pasado Amor,Horacio Quiroga,1929,1937,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
386,Venida del Primogénito,Horacio Quiroga,s. f.,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
364,Las Sacrificadas,Horacio Quiroga,1920,1937,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
363,El Salvaje y Otros Cuentos,Horacio Quiroga,1920,1937,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
384,El Soldado,Horacio Quiroga,s. f.,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
362,Suelo Natal,Horacio Quiroga,1931,1937,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2038,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
397,Alucinación,Carmen de Burgos,1905,1932,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
391,Amadís,Carmen de Burgos,s. f.,1932,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
394,Los Anticuarios,Carmen de Burgos,1919,1932,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
398,La Ciudad Encantada,Carmen de Burgos,s. f.,1932,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
389,Confidencias,Carmen de Burgos,1916,1932,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
392,Cuentos de Colombine,Carmen de Burgos,s. f.,1932,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
395,Los Espirituados,Carmen de Burgos,1923,1932,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
396,Los Inadaptados,Carmen de Burgos,1909,1932,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
401,La Justicia del Mar,Carmen de Burgos,s. f.,1932,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
402,Los Míseros,Carmen de Burgos,s. f.,1932,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
393,La Mujer Fantástica,Carmen de Burgos,1924,1932,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
399,La Mujer Fría,Carmen de Burgos,s. f.,1932,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
400,El Perseguidor,Carmen de Burgos,s. f.,1932,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
403,Puñal de Claveles,Carmen de Burgos,1931,1932,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
390,Quiero Vivir mi Vida,Carmen de Burgos,1931,1932,Dominio público,"GEOBLOQUEAR:MX,PR,US",LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
404,El Último Deseo,Carmen de Burgos,1916,1932,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2033,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
416,Callar en Vida y Perdonar en Muerte,Fernán Caballero,s. f.,1877,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
421,La Corruptora y la Buena Maestra,Fernán Caballero,s. f.,1877,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
417,Cosa Cumplida... Sólo en la Otra Vida,Fernán Caballero,s. f.,1877,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
422,Cuentos dispersos,Fernán Caballero,s. f.,1877,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
410,Las Dos Gracias,Fernán Caballero,s. f.,1877,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
409,Una en Otra,Fernán Caballero,1849,1877,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
411,La Estrella de Vandalia,Fernán Caballero,1855,1877,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
407,La Familia de Alvareda,Fernán Caballero,1856,1877,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
414,La Farisea,Fernán Caballero,s. f.,1877,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
420,La Flor de las Ruinas,Fernán Caballero,s. f.,1877,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
419,Justa y Rufina,Fernán Caballero,s. f.,1877,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
408,Lágrimas,Fernán Caballero,1839,1877,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
405,La Mitología Contada a los Niños e Historia de los Grandes Hombres de la Grecia,Fernán Caballero,1867,1877,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
418,No Transige la Conciencia,Fernán Caballero,s. f.,1877,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
412,¡Pobre Dolores!,Fernán Caballero,s. f.,1877,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
406,Relaciones,Fernán Caballero,s. f.,1877,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
415,Un Servilón y un Liberalito,Fernán Caballero,1857,1877,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
413,Vulgaridad y Nobleza,Fernán Caballero,s. f.,1877,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
431,Cuentos dispersos,Juana Manuela Gorriti,s. f.,1892,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
426,Escenas de Lima,Juana Manuela Gorriti,s. f.,1892,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
429,Feliza,Juana Manuela Gorriti,s. f.,1892,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
427,El Guante Negro,Juana Manuela Gorriti,s. f.,1892,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
430,La Hija del Mashorquero,Juana Manuela Gorriti,s. f.,1892,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
423,Oasis en la Vida,Juana Manuela Gorriti,1888,1892,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
424,El Pozo del Yocci,Juana Manuela Gorriti,1869,1892,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
425,La Quena,Juana Manuela Gorriti,1845,1892,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
428,Una Visita al Manicomio,Juana Manuela Gorriti,s. f.,1892,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
435,Un Crimen,Soledad Acosta de Samper,s. f.,1913,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
434,Mercedes,Soledad Acosta de Samper,s. f.,1913,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
432,Los Piratas en Cartagena,Soledad Acosta de Samper,1886,1913,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
433,Teresa la Limeña,Soledad Acosta de Samper,1869,1913,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
455,Algo de Todo,Juan Valera,s. f.,1905,Dominio público,"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
