id,fecha,motivo
207,2026-09-12,Ficha de enlace; la letra del himno es de dominio público y Wikisource la aloja
214,2026-09-12,Solo enlace a la Biblioteca de Descarga Liberada; no se aloja copia
218,2026-09-12,Ficha de enlace a Memoria Chilena
222,2026-09-12,Solo enlace; la traducción de Zulueta no está libre y por eso no se edita
223,2026-09-12,Solo enlace a Memoria Chilena, que la declara patrimonio cultural común
224,2026-09-12,Solo enlace a Memoria Chilena, que la declara patrimonio cultural común
229,2026-09-12,Antología con prólogo de 1965; solo enlace, no se aloja copia
